city,state,house_type,month,avg_temp_f,humidity,heating_degree_days,cooling_degree_days,avg_energy_kwh,square_feet,num_occupants,energy_rate_per_kwh,monthly_energy_bill
Los Angeles,CA,Condo,6,70.4,62.6,0.0,161.5,8781.1,1091,1,0.264,2337.56
Denver,CO,Apartment,11,58.3,36.2,200.5,0.0,11824.5,1067,2,0.12,1409.52
Los Angeles,CA,Large House,3,53.0,73.1,358.6,0.0,100311.6,3557,3,0.22,22073.92
Phoenix,AZ,Large House,8,86.9,55.4,0.0,657.7,142989.4,3514,1,0.156,22286.49
Chicago,IL,Townhouse,3,42.5,55.7,674.5,0.0,81302.8,1959,2,0.14,11365.4
Chicago,IL,Large House,1,28.8,38.9,1085.2,0.0,389308.4,4709,3,0.154,59945.83
New York,NY,Townhouse,4,55.7,51.2,279.9,0.0,33831.3,1898,1,0.18,6104.63
Atlanta,GA,Condo,4,61.8,31.5,95.6,0.0,6085.3,966,1,0.13,784.38
Seattle,WA,Condo,5,62.8,32.3,65.2,0.0,4406.9,963,1,0.1,428.67
Boston,MA,Townhouse,5,62.2,69.6,83.1,0.0,12352.3,2040,2,0.21,2585.14
Los Angeles,CA,Townhouse,6,70.0,88.9,0.0,149.9,15503.6,1856,3,0.264,4110.52
Los Angeles,CA,Townhouse,3,47.4,65.8,528.5,0.0,58821.6,1794,2,0.22,12952.2
Seattle,WA,Large House,9,74.0,41.4,0.0,269.9,56786.4,3236,4,0.1,5676.09
Denver,CO,Large House,11,56.4,41.8,258.9,0.0,93104.5,4473,6,0.12,11190.5
Miami,FL,Large House,6,90.2,48.0,0.0,755.9,203001.1,4358,1,0.132,26792.48
Seattle,WA,Townhouse,9,69.2,86.4,0.0,126.1,9484.7,1330,1,0.1,964.58
Atlanta,GA,Large House,5,67.3,48.2,0.0,70.1,21406.5,3831,5,0.13,2794.27
Atlanta,GA,Townhouse,8,75.8,60.7,0.0,322.7,27472.5,1652,2,0.156,4304.11
Chicago,IL,Apartment,5,60.9,87.1,122.0,0.0,7232.4,1027,2,0.14,1004.96
Houston,TX,Condo,1,66.8,66.7,0.0,55.2,2965.5,847,1,0.132,389.67
Atlanta,GA,Condo,12,46.9,44.6,541.7,0.0,46659.1,1513,2,0.143,6652.48
Los Angeles,CA,House,4,58.2,33.0,204.6,0.0,27011.9,1860,3,0.22,5956.55
Boston,MA,Condo,8,81.5,83.5,0.0,495.0,33848.1,1483,2,0.252,8538.49
Denver,CO,House,9,72.4,58.5,0.0,223.1,30714.6,2413,2,0.12,3675.65
Phoenix,AZ,Large House,8,88.7,34.6,0.0,712.4,188464.0,4283,2,0.156,29391.25
Miami,FL,Large House,2,62.3,71.6,80.6,0.0,24131.9,3283,2,0.121,2902.53
Seattle,WA,Townhouse,9,65.6,80.0,0.0,18.7,3331.5,1677,2,0.1,343.94
New York,NY,Large House,7,83.4,47.9,0.0,552.8,136780.5,3976,1,0.216,29560.26
Seattle,WA,Large House,12,50.0,83.9,450.0,0.0,158175.8,4504,5,0.11,17390.26
Boston,MA,Apartment,7,81.2,80.4,0.0,487.3,17308.8,844,1,0.252,4381.05
Denver,CO,Apartment,7,70.8,55.7,0.0,175.2,8808.3,1106,1,0.144,1255.67
Phoenix,AZ,House,6,86.3,75.7,0.0,638.1,66380.8,1933,2,0.156,10365.48
Seattle,WA,Townhouse,2,50.5,33.1,435.3,0.0,45727.8,1681,1,0.11,5019.02
Los Angeles,CA,Apartment,1,48.4,67.3,498.2,0.0,19408.5,753,1,0.242,4695.8
Los Angeles,CA,Large House,4,55.6,52.1,283.1,0.0,89582.4,3952,6,0.22,19726.67
Los Angeles,CA,Condo,5,68.3,64.5,0.0,98.7,4943.0,910,1,0.22,1082.47
Houston,TX,Apartment,10,76.0,76.3,0.0,330.6,16184.1,1142,1,0.12,1946.11
Los Angeles,CA,Large House,1,44.3,52.2,621.5,0.0,178179.6,3711,5,0.242,43113.12
Seattle,WA,House,2,49.4,79.7,469.3,0.0,75732.0,2387,3,0.11,8327.94
Denver,CO,Townhouse,10,61.6,79.5,100.5,0.0,14671.8,2027,4,0.12,1753.51
Houston,TX,Apartment,5,84.5,64.2,0.0,585.1,23395.3,961,1,0.12,2800.9
Boston,MA,Townhouse,3,40.5,45.5,733.6,0.0,76485.3,1699,1,0.21,16065.76
Phoenix,AZ,Large House,1,57.9,73.2,214.3,0.0,70394.4,4058,2,0.143,10076.73
Boston,MA,House,8,72.9,43.3,0.0,237.9,42052.9,3123,1,0.252,10589.58
Atlanta,GA,Townhouse,8,72.4,89.8,0.0,223.1,20979.5,1766,3,0.156,3266.87
Boston,MA,Townhouse,5,61.2,41.6,113.8,0.0,11391.3,1457,1,0.21,2393.61
Chicago,IL,Condo,4,51.8,65.4,397.1,0.0,35620.9,1556,2,0.14,4990.79
Los Angeles,CA,Condo,5,60.8,30.8,126.2,0.0,8296.3,1032,2,0.22,1816.15
New York,NY,Large House,5,66.4,75.2,0.0,41.4,16522.9,4428,2,0.18,2954.61
Phoenix,AZ,House,8,87.8,33.1,0.0,685.3,88574.1,2402,3,0.156,13816.68
Los Angeles,CA,House,8,75.3,33.2,0.0,308.8,28550.9,1651,3,0.264,7539.94
Phoenix,AZ,Apartment,4,77.1,77.4,0.0,361.9,9531.4,621,1,0.13,1239.99
Boston,MA,House,5,69.9,48.3,0.0,147.0,28994.3,3261,5,0.21,6093.19
Los Angeles,CA,Condo,11,55.6,39.4,281.9,0.0,16799.8,1016,2,0.22,3678.96
New York,NY,House,8,76.7,32.0,0.0,351.0,56762.7,2911,5,0.216,12252.04
Boston,MA,Apartment,11,47.9,67.5,513.7,0.0,19702.9,739,1,0.21,4154.95
Seattle,WA,Apartment,9,74.1,79.6,0.0,272.5,8556.0,730,1,0.1,842.23
Phoenix,AZ,Large House,12,68.2,56.3,0.0,96.4,33472.8,4688,5,0.143,4778.78
Seattle,WA,Townhouse,9,69.4,65.9,0.0,131.3,13043.9,1752,2,0.1,1313.77
Atlanta,GA,Townhouse,1,49.6,80.2,461.4,0.0,37173.8,1293,1,0.143,5333.88
Phoenix,AZ,Large House,1,61.7,69.1,98.8,0.0,39679.1,4562,2,0.143,5661.36
Atlanta,GA,House,11,58.7,58.2,189.3,0.0,42760.3,3167,4,0.13,5551.68
Los Angeles,CA,Condo,6,68.9,86.7,0.0,116.5,7614.2,1221,2,0.264,2012.15
Boston,MA,Apartment,6,70.2,76.4,0.0,154.8,5472.2,758,1,0.252,1391.99
New York,NY,Large House,8,73.9,51.7,0.0,266.3,66262.1,3846,1,0.216,14317.62
New York,NY,Condo,5,69.3,56.3,0.0,128.3,9037.1,1362,1,0.18,1611.53
Atlanta,GA,Condo,12,47.5,63.1,524.7,0.0,28639.6,962,1,0.143,4115.16
Los Angeles,CA,House,2,48.0,73.0,510.5,0.0,96972.2,2826,2,0.242,23458.22
Boston,MA,House,4,52.8,85.3,364.9,0.0,60552.4,2435,2,0.21,12731.18
Los Angeles,CA,Townhouse,7,72.7,30.2,0.0,230.2,18992.5,1548,3,0.264,5027.52
Atlanta,GA,House,3,50.5,63.1,436.5,0.0,71524.6,2414,4,0.13,9296.42
Miami,FL,Condo,12,61.3,76.5,109.9,0.0,7359.7,1044,2,0.121,900.31
Seattle,WA,House,11,58.8,59.7,185.8,0.0,41629.5,3122,6,0.1,4163.04
Atlanta,GA,Townhouse,2,44.0,84.6,630.1,0.0,81596.1,2095,4,0.143,11654.01
Chicago,IL,Apartment,8,78.2,53.8,0.0,397.0,12875.7,771,1,0.168,2156.25
Denver,CO,House,6,74.7,32.2,0.0,291.7,45543.8,2783,4,0.144,6563.56
Phoenix,AZ,Condo,12,68.8,75.6,0.0,113.5,5390.4,892,1,0.143,754.85
Chicago,IL,Townhouse,1,31.0,47.6,1021.2,0.0,77815.1,1247,2,0.154,11969.34
Denver,CO,House,10,58.7,34.7,189.0,0.0,38924.3,2896,2,0.12,4675.7
Houston,TX,House,10,79.6,45.2,0.0,438.3,42815.3,1793,1,0.12,5118.21
Boston,MA,Townhouse,11,40.7,86.7,727.8,0.0,78722.6,1759,1,0.21,16523.7
Seattle,WA,Townhouse,8,71.0,53.1,0.0,179.8,20157.4,2065,3,0.12,2408.37
Atlanta,GA,Townhouse,10,60.0,88.7,151.4,0.0,15480.5,1502,3,0.13,2003.45
Atlanta,GA,Apartment,10,64.8,43.8,7.3,0.0,1433.6,1008,2,0.13,175.13
Houston,TX,Large House,5,84.7,70.9,0.0,590.2,161491.7,4388,6,0.12,19362.89
New York,NY,Townhouse,8,79.3,35.4,0.0,429.7,26836.1,1234,2,0.216,5806.5
Chicago,IL,Condo,3,42.3,84.8,680.7,0.0,52096.0,1352,2,0.14,7283.72
Boston,MA,Townhouse,12,36.0,58.1,868.7,0.0,111273.3,2091,3,0.231,25714.3
Houston,TX,House,9,89.9,30.8,0.0,747.2,89860.4,2249,1,0.12,10781.43
Phoenix,AZ,Large House,7,96.4,36.5,0.0,942.1,271231.9,4684,6,0.156,42293.17
Denver,CO,Townhouse,10,63.4,57.9,49.4,0.0,5754.0,1426,1,0.12,696.45
Los Angeles,CA,Condo,1,50.0,37.0,451.2,0.0,21591.2,838,1,0.242,5226.58
Seattle,WA,House,6,70.2,74.5,0.0,155.7,26835.5,2873,5,0.12,3216.85
Los Angeles,CA,House,10,57.3,52.2,230.2,0.0,37743.4,2335,3,0.22,8321.58
Miami,FL,Apartment,11,66.6,46.6,0.0,48.2,2582.1,876,1,0.11,302.0
Boston,MA,Apartment,11,40.5,50.0,734.8,0.0,27114.9,717,1,0.21,5705.61
Houston,TX,Apartment,9,90.1,44.0,0.0,753.9,22196.0,712,1,0.12,2675.07
Atlanta,GA,Apartment,5,64.4,77.9,17.9,0.0,1121.5,648,1,0.13,160.45
Chicago,IL,Apartment,6,69.2,45.9,0.0,124.7,4326.9,743,1,0.168,723.75
Los Angeles,CA,Apartment,8,74.1,36.5,0.0,274.0,11377.5,959,1,0.264,3021.48
New York,NY,Large House,5,69.6,33.6,0.0,139.2,38513.4,3938,6,0.18,6928.48
Los Angeles,CA,House,12,42.7,34.8,668.0,0.0,150050.3,3363,4,0.242,36294.8
Phoenix,AZ,Large House,11,73.1,52.9,0.0,243.6,67176.6,4198,5,0.13,8724.75
Denver,CO,Large House,7,71.1,69.3,0.0,184.3,40242.6,3203,6,0.144,5796.98
Houston,TX,House,8,90.1,79.6,0.0,754.1,133807.5,3318,2,0.144,19277.46
Miami,FL,House,6,86.7,39.2,0.0,652.3,100527.5,2862,3,0.132,13252.32
Los Angeles,CA,Apartment,7,78.1,63.4,0.0,393.5,10008.9,598,1,0.264,2644.83
Miami,FL,Apartment,7,95.7,73.3,0.0,920.4,32619.6,862,1,0.132,4309.81
Miami,FL,Apartment,10,76.5,58.9,0.0,346.4,15104.7,1019,1,0.11,1655.52
Denver,CO,Townhouse,2,48.7,78.4,487.8,0.0,60156.9,1980,2,0.132,7959.69
Atlanta,GA,Large House,11,49.3,85.7,472.1,0.0,158821.6,4316,5,0.13,20637.5
Chicago,IL,Townhouse,12,37.2,51.1,833.5,0.0,101101.5,1980,2,0.154,15555.36
Seattle,WA,Apartment,3,47.9,61.8,512.5,0.0,30409.6,1148,1,0.1,3039.1
Chicago,IL,Townhouse,5,67.8,64.1,0.0,83.1,9743.2,1938,2,0.14,1346.15
Chicago,IL,Large House,1,25.7,69.7,1178.4,0.0,392497.4,4380,1,0.154,60442.28
Phoenix,AZ,Condo,9,86.3,47.0,0.0,639.0,26705.0,916,1,0.13,3471.11
Phoenix,AZ,Apartment,4,71.1,48.1,0.0,182.3,7357.6,904,1,0.13,941.98
Phoenix,AZ,Townhouse,6,88.0,55.8,0.0,689.2,45049.8,1322,1,0.156,7029.08
Houston,TX,Large House,9,90.1,34.3,0.0,751.9,218914.8,4706,6,0.12,26251.46
New York,NY,House,2,32.8,64.4,967.3,0.0,209106.9,3265,3,0.198,41399.86
Los Angeles,CA,House,1,41.7,86.9,698.4,0.0,161895.0,3478,3,0.242,39186.18
Miami,FL,Apartment,7,91.4,54.0,0.0,790.7,19732.0,608,1,0.132,2619.45
Miami,FL,Condo,6,83.8,68.0,0.0,562.9,41076.3,1597,1,0.132,5409.83
Miami,FL,Townhouse,12,61.4,38.8,109.1,0.0,16552.6,2181,2,0.121,2006.96
Los Angeles,CA,Condo,11,56.5,75.6,253.7,0.0,19565.1,1305,2,0.22,4321.28
Atlanta,GA,Large House,6,69.2,56.4,0.0,124.8,42338.8,4769,6,0.156,6610.1
Phoenix,AZ,Large House,1,57.7,57.7,217.7,0.0,65871.8,3720,5,0.143,9414.41
Phoenix,AZ,Apartment,11,70.6,63.3,0.0,168.8,4629.5,592,1,0.13,617.67
Boston,MA,Large House,11,46.1,60.1,568.5,0.0,148931.0,3385,3,0.21,31273.54
Miami,FL,Apartment,9,82.4,72.5,0.0,521.7,25356.7,1161,1,0.11,2790.2
Atlanta,GA,Condo,6,69.9,76.5,0.0,146.2,8893.5,1181,2,0.156,1369.48
Miami,FL,Apartment,6,85.8,73.4,0.0,625.2,15513.9,596,1,0.132,2064.09
Chicago,IL,Townhouse,2,28.4,51.0,1097.6,0.0,120452.0,1796,3,0.154,18557.55
Seattle,WA,Condo,10,60.1,52.6,147.1,0.0,13850.5,1525,1,0.1,1397.58
Denver,CO,Apartment,11,54.1,31.1,327.5,0.0,20528.6,1186,2,0.12,2481.47
Miami,FL,House,4,72.5,47.7,0.0,226.5,25347.7,1963,1,0.11,2788.55
Denver,CO,Large House,1,48.8,67.1,487.1,0.0,164788.7,4355,3,0.132,21738.27
Chicago,IL,Large House,3,37.4,51.9,826.9,0.0,283602.9,4476,4,0.14,39723.18
Atlanta,GA,Townhouse,12,44.3,44.4,619.8,0.0,76945.3,2002,4,0.143,11014.55
Houston,TX,Townhouse,11,70.6,46.9,0.0,168.5,20081.9,2169,4,0.12,2410.93
Chicago,IL,Condo,10,52.5,58.8,374.3,0.0,20286.6,941,1,0.14,2857.5
Denver,CO,Apartment,5,61.7,84.3,98.2,0.0,3368.7,585,1,0.12,401.75
Houston,TX,House,6,87.1,53.8,0.0,664.5,121296.9,3405,1,0.144,17462.2
Los Angeles,CA,Townhouse,4,62.3,80.4,80.8,0.0,7398.7,1228,2,0.22,1639.37
Chicago,IL,Apartment,5,67.6,58.1,0.0,77.7,3962.8,983,1,0.14,571.02
New York,NY,Townhouse,4,54.5,73.6,315.4,0.0,41102.1,2055,2,0.18,7382.82
Phoenix,AZ,Condo,5,79.4,68.3,0.0,431.5,18492.0,924,1,0.13,2386.48
Boston,MA,Large House,9,69.2,44.5,0.0,124.6,27145.3,3033,6,0.21,5697.69
Atlanta,GA,Townhouse,4,54.9,70.1,303.8,0.0,34476.7,1784,2,0.13,4476.4
Denver,CO,Large House,9,70.5,53.4,0.0,166.2,52259.6,4610,5,0.12,6276.57
Miami,FL,Townhouse,12,66.9,50.7,0.0,56.6,4755.0,1216,2,0.121,580.49
Atlanta,GA,Townhouse,3,52.5,78.8,376.2,0.0,29472.0,1245,2,0.13,3842.53
Boston,MA,House,11,40.6,76.6,731.1,0.0,91073.6,1873,1,0.21,19117.18
New York,NY,Condo,1,28.2,89.3,1105.4,0.0,69490.9,1123,2,0.198,13749.34
Houston,TX,Townhouse,6,91.7,49.9,0.0,799.7,81966.4,2082,1,0.144,11797.88
Seattle,WA,House,7,75.0,59.9,0.0,298.9,36723.1,2194,2,0.12,4407.54
Los Angeles,CA,House,2,48.5,49.3,496.4,0.0,79471.1,2381,2,0.242,19238.43
Phoenix,AZ,House,10,76.7,56.6,0.0,350.0,57632.0,2969,4,0.13,7501.23
Miami,FL,Large House,7,96.8,86.9,0.0,954.0,208980.0,3562,6,0.132,27590.87
Miami,FL,Large House,12,68.5,38.6,0.0,105.8,33474.5,4391,2,0.121,4061.66
New York,NY,Condo,2,30.6,87.0,1031.4,0.0,60092.8,1041,2,0.198,11884.51
Boston,MA,Townhouse,6,74.7,61.8,0.0,292.2,24883.9,1654,1,0.252,6276.73
Houston,TX,Apartment,1,62.2,84.8,84.7,0.0,3496.9,690,1,0.132,472.59
Boston,MA,Condo,10,54.0,38.1,329.9,0.0,20912.4,1092,2,0.21,4378.5
Boston,MA,Apartment,11,47.1,63.0,537.1,0.0,22930.3,827,1,0.21,4807.37
Chicago,IL,Condo,6,70.2,42.1,0.0,156.4,10283.6,1320,1,0.168,1739.26
New York,NY,Townhouse,9,68.7,89.0,0.0,110.2,11329.6,1786,2,0.18,2054.7
Los Angeles,CA,Townhouse,7,74.8,54.6,0.0,293.6,29454.0,1934,3,0.264,7778.84
Chicago,IL,Townhouse,11,44.7,61.0,610.3,0.0,48073.8,1275,2,0.14,6743.49
Denver,CO,Large House,3,51.3,84.6,410.2,0.0,146360.0,4572,2,0.12,17548.17
Chicago,IL,Townhouse,3,46.3,43.5,559.6,0.0,47469.4,1365,2,0.14,6646.47
Phoenix,AZ,Apartment,5,78.3,48.2,0.0,397.6,11814.8,701,1,0.13,1536.03
Chicago,IL,Large House,10,58.6,73.2,192.4,0.0,52129.5,3315,2,0.14,7311.84
Atlanta,GA,Apartment,1,49.5,76.3,465.4,0.0,14086.8,583,1,0.143,2002.84
Atlanta,GA,House,10,62.0,67.6,90.6,0.0,19542.5,2808,1,0.13,2558.79
Boston,MA,Condo,11,44.5,71.3,613.9,0.0,42247.1,1215,2,0.21,8868.52
Boston,MA,Condo,6,72.1,73.1,0.0,213.8,14773.4,1421,1,0.252,3737.32
Seattle,WA,Condo,6,69.2,58.0,0.0,125.7,8572.7,1327,1,0.12,1018.64
Los Angeles,CA,Apartment,5,61.5,81.9,105.5,0.0,5457.8,893,1,0.22,1193.8
Atlanta,GA,Townhouse,4,58.0,60.9,210.5,0.0,27044.0,1981,1,0.13,3508.06
New York,NY,Apartment,7,83.7,42.9,0.0,560.0,23765.2,1017,2,0.216,5115.31
Boston,MA,Large House,11,42.9,30.5,664.3,0.0,223838.9,4377,4,0.21,46991.53
Phoenix,AZ,Townhouse,7,91.0,64.2,0.0,780.2,60513.7,1574,1,0.156,9442.27
Los Angeles,CA,House,9,73.3,67.4,0.0,247.6,34114.0,2422,3,0.22,7490.22
Los Angeles,CA,House,6,71.6,51.9,0.0,197.3,35660.8,3127,3,0.264,9418.54
Seattle,WA,Large House,1,41.4,50.0,708.9,0.0,168246.5,3092,1,0.11,18505.4
Atlanta,GA,Large House,3,50.2,53.6,444.4,0.0,127544.2,3671,5,0.13,16594.45
Atlanta,GA,Townhouse,9,72.1,48.0,0.0,212.6,23410.8,2048,4,0.13,3038.14
Los Angeles,CA,House,10,63.0,45.9,60.9,0.0,10811.7,2130,1,0.22,2397.45
Atlanta,GA,Large House,4,58.8,40.2,184.9,0.0,67647.4,4477,1,0.13,8798.96
Seattle,WA,Condo,11,54.7,72.0,308.2,0.0,18736.7,1048,1,0.1,1871.31
Seattle,WA,Condo,7,74.1,76.5,0.0,273.1,19629.9,1507,1,0.12,2370.5
New York,NY,Condo,9,74.0,58.7,0.0,269.4,13083.4,1012,2,0.18,2373.28
Boston,MA,Large House,6,75.8,82.1,0.0,322.8,85175.4,4118,3,0.252,21476.35
Phoenix,AZ,Large House,8,88.8,47.9,0.0,713.7,149755.3,3393,2,0.156,23381.12
Phoenix,AZ,Condo,12,62.2,50.9,84.9,0.0,8746.5,1521,2,0.143,1262.57
Phoenix,AZ,Townhouse,2,65.4,83.7,0.0,13.0,3165.8,1787,3,0.143,446.52
Chicago,IL,Townhouse,1,26.5,56.5,1156.1,0.0,105137.5,1494,1,0.154,16190.34
Houston,TX,Large House,5,84.0,38.2,0.0,568.9,174248.8,4910,5,0.12,20913.32
Houston,TX,Apartment,11,72.4,33.1,0.0,221.4,10153.2,1043,1,0.12,1227.08
Los Angeles,CA,Condo,1,44.1,86.1,627.9,0.0,48457.7,1363,1,0.242,11725.87
Houston,TX,Townhouse,6,92.1,35.4,0.0,812.4,59746.6,1492,1,0.144,8604.92
New York,NY,Condo,7,84.0,53.8,0.0,569.2,25513.3,980,1,0.216,5528.34
Phoenix,AZ,Apartment,1,66.3,50.1,0.0,38.5,1975.7,805,1,0.143,288.18
Denver,CO,House,3,51.7,41.6,399.6,0.0,88150.6,3242,5,0.12,10564.57
Boston,MA,Townhouse,12,35.4,77.4,889.0,0.0,75611.8,1390,1,0.231,17476.61
Chicago,IL,Large House,11,48.3,60.9,501.9,0.0,188399.6,4837,4,0.14,26382.72
Chicago,IL,Condo,8,72.1,53.0,0.0,212.0,11647.0,1131,1,0.168,1947.38
Miami,FL,Townhouse,10,75.1,69.2,0.0,303.4,30516.4,1940,3,0.11,3339.29
Los Angeles,CA,House,5,65.9,85.4,0.0,25.8,4690.8,1827,2,0.22,1042.78
Los Angeles,CA,Townhouse,6,68.2,38.0,0.0,95.7,10211.6,1829,1,0.264,2705.76
Atlanta,GA,Townhouse,7,79.1,75.4,0.0,423.8,41282.0,1918,3,0.156,6453.02
Houston,TX,Large House,2,65.3,51.7,0.0,8.5,7641.7,4076,4,0.132,993.19
Denver,CO,Large House,4,54.5,49.7,315.0,0.0,104337.8,4172,5,0.12,12505.19
Houston,TX,Large House,8,90.5,33.3,0.0,763.6,150477.9,3186,5,0.144,21665.44
Atlanta,GA,Apartment,9,72.2,53.8,0.0,217.0,9386.7,973,1,0.13,1230.1
Atlanta,GA,Apartment,1,47.0,62.5,539.9,0.0,25944.1,933,1,0.143,3725.77
Boston,MA,Apartment,5,67.7,75.9,0.0,80.7,3893.1,918,1,0.21,823.38
Seattle,WA,Townhouse,7,73.8,71.0,0.0,262.7,22783.8,1659,2,0.12,2735.63
Miami,FL,Apartment,3,70.3,73.7,0.0,158.7,7648.0,1050,2,0.11,821.41
New York,NY,Townhouse,8,77.4,61.9,0.0,373.3,36089.0,1889,3,0.216,7785.13
Miami,FL,Condo,5,77.3,69.6,0.0,369.7,17158.2,993,1,0.11,1904.86
New York,NY,Condo,4,54.9,56.8,301.8,0.0,15317.0,868,1,0.18,2771.94
Houston,TX,Apartment,7,92.4,75.3,0.0,821.9,32114.8,949,1,0.144,4610.14
Phoenix,AZ,Condo,12,64.8,76.4,6.8,0.0,2022.2,1389,2,0.143,278.66
Chicago,IL,Large House,4,51.8,63.4,397.5,0.0,119729.1,3846,3,0.14,16771.48
Chicago,IL,House,9,73.7,86.5,0.0,261.7,37003.3,2515,1,0.14,5191.89
Miami,FL,House,7,90.8,75.3,0.0,772.9,74679.9,1805,2,0.132,9871.72
Phoenix,AZ,Condo,8,95.7,63.4,0.0,920.3,35577.8,859,1,0.156,5539.84
Houston,TX,Townhouse,11,74.5,35.5,0.0,284.1,18971.3,1280,2,0.12,2264.17
Phoenix,AZ,House,11,66.4,34.4,0.0,41.9,9518.9,2738,5,0.13,1240.96
Denver,CO,Condo,8,72.0,84.5,0.0,211.0,10456.6,1013,2,0.144,1493.34
Los Angeles,CA,House,4,60.0,53.8,148.9,0.0,31932.9,2924,5,0.22,7018.11
Phoenix,AZ,House,8,89.1,51.6,0.0,722.5,100547.3,2592,3,0.156,15684.02
Boston,MA,Townhouse,4,53.1,63.8,355.8,0.0,35410.6,1579,2,0.21,7422.06
Phoenix,AZ,Large House,10,79.2,39.1,0.0,425.3,112700.8,4186,6,0.13,14646.3
Houston,TX,House,9,84.6,79.3,0.0,587.2,90154.3,2840,3,0.12,10824.18
Boston,MA,House,3,38.7,73.2,789.2,0.0,157405.6,3000,3,0.21,33071.86
Denver,CO,Apartment,9,74.5,70.1,0.0,283.6,6636.8,534,1,0.12,792.92
Houston,TX,Apartment,12,61.2,57.4,114.4,0.0,4275.7,654,1,0.132,569.89
Atlanta,GA,House,11,49.1,63.1,478.0,0.0,80277.9,2499,1,0.13,10437.3
Phoenix,AZ,Large House,5,85.1,70.4,0.0,603.9,114432.0,3035,5,0.13,14892.55
Los Angeles,CA,Apartment,9,66.9,61.6,0.0,57.6,2186.3,652,1,0.22,471.68
Seattle,WA,Apartment,6,71.7,89.4,0.0,199.5,8078.9,915,1,0.12,976.83
Los Angeles,CA,Apartment,2,46.8,58.6,546.8,0.0,25877.7,915,1,0.242,6270.52
Los Angeles,CA,House,7,75.7,81.5,0.0,319.8,50131.0,2820,3,0.264,13235.72
New York,NY,Condo,4,53.8,32.8,337.3,0.0,29551.7,1508,3,0.18,5336.33
